Split_Type,Item_Name,Item_Structure,Slither,Mythril,Oyente,Final_Label
Safe_Single,verified_rust_file_0.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_1.rs,Single File,Safe,Safe,Safe,Safe
Vuln_Single,verified_rust_file_2.rs,Single File,Safe,Vulnerable,Safe,Vulnerable
Safe_Single,verified_rust_file_3.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_4.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_5.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_6.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_7.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_8.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_9.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_10.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_11.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_12.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_13.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_14.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_15.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_16.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_17.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_18.rs,Single File,Safe,Safe,Safe,Safe
Vuln_Single,verified_rust_file_19.rs,Single File,Safe,Vulnerable,Safe,Vulnerable
Safe_Single,verified_rust_file_20.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_21.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_22.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_23.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_24.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_25.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_26.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_27.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_28.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_29.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_30.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_31.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_32.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_33.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_34.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_35.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_36.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_37.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_38.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_39.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_40.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_41.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_42.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_43.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_44.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_45.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_46.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_47.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_48.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_49.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_50.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_51.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_52.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_53.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_54.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_55.rs,Single File,Safe,Safe,Safe,Safe
Safe_Single,verified_rust_file_56.rs,Single File,Safe,Safe,Safe,Safe
Vuln_Single,verified_rust_file_57.rs,Single File,Safe,Vulnerable,Safe,Vulnerable
