Split_Class,Sample_Identifier,True_AST_Nodes,True_AST_Edges,Weisfeiler_Lehman_Structural_Hash,Compilation_Status
Safe_Single,Sample_0,18,17,37073cf86ea3d25306e97b5652b3cbc3,PASS
Safe_Single,Sample_1,16,15,e536b67cae149969eff49ecf95a6effa,PASS
Safe_Single,Sample_2,13,12,f62382b344ab4afbaeb4d22eeb427814,PASS
Safe_Single,Sample_3,14,13,f3cf626aaed3b941a9af4deba172bdc0,PASS
Safe_Single,Sample_4,18,17,d3ec2a4fcfed51a1ca82e52d70a11594,PASS
Safe_Single,Sample_5,12,11,4f09c1b369f516d71492414ec6db2aea,PASS
Safe_Single,Sample_6,16,15,af1501ae52e7741d28bcb56008bff1a4,PASS
Safe_Single,Sample_7,14,13,0f1e8ac35edf619b755bcc48b3c69814,PASS
Safe_Single,Sample_8,18,17,4752eea6bc0973010a63610338c72178,PASS
Safe_Single,Sample_9,16,15,74d0160ec5c19086703e38f7ccae8bb9,PASS
Safe_Single,Sample_10,18,17,0d8efe927d9286733e919d02773457db,PASS
Safe_Single,Sample_11,15,14,7b634d77a5b38e438ea354b264cb9449,PASS
Safe_Single,Sample_12,17,16,6dbb81391353314f66fb397b473c7f8c,PASS
Safe_Single,Sample_13,16,15,dd3a8c45baf6fc5cb2b2b16fa3755e66,PASS
Safe_Single,Sample_14,19,18,51c75b7577c6d815916cb01be15ef384,PASS
Safe_Single,Sample_15,17,16,682982b8a2b63ae19249bafdee294d1a,PASS
Safe_Single,Sample_16,20,19,a3c7d2f9d26f3bd2ac051acb4a681697,PASS
Safe_Single,Sample_17,12,11,041d02bfc1f11df7efff0d04263f108a,PASS
Safe_Single,Sample_18,15,14,e37ac4bf6392e8b790b8ef78d705b789,PASS
Safe_Single,Sample_19,14,13,aee159922d5c963abb6610f7c7a9080d,PASS
Safe_Single,Sample_20,15,14,910986901af72ed9d5cf0cd398615af0,PASS
Safe_Single,Sample_21,15,14,3d860d8c36427eb2ef19d14cc8e40dce,PASS
Safe_Single,Sample_22,16,15,208e824da104115351b495d5bd974d89,PASS
Safe_Single,Sample_23,16,15,114fa26cbdfebde8f8955eb2e5857387,PASS
Safe_Single,Sample_24,17,16,7657a647c094fb27aab324057f270ffa,PASS
Safe_Single,Sample_25,14,13,f72f13f435eb3e8d2d145e9fe1a023ee,PASS
Safe_Single,Sample_26,18,17,1d4c79e041d1150963c7567efea72d92,PASS
Safe_Single,Sample_27,19,18,44b65ec5352207d484bc2e66b0d97125,PASS
Safe_Single,Sample_28,16,15,581309c64b765cd22978238764fdc826,PASS
Safe_Single,Sample_29,16,15,5115c62ebb705982974cdd56e65e44b7,PASS
Safe_Single,Sample_30,19,18,72f9e6027ed434b6f7c6e00079255518,PASS
Safe_Single,Sample_31,17,16,179f7ea7c158285cf4f9bc67f962a7aa,PASS
Safe_Single,Sample_32,19,18,c3e5fb34e9769c0588adf665971e79f6,PASS
Safe_Single,Sample_33,14,13,fe403a963e80b44dd8c0387994abac5f,PASS
Safe_Single,Sample_34,16,15,e58438927d896fa40dca1eec53db85f2,PASS
Safe_Single,Sample_35,20,19,f74ea709857f67b87fb942a449cb2b84,PASS
Safe_Single,Sample_36,13,12,94c0a99a6a4035c5ed11f8994eceac42,PASS
Safe_Single,Sample_37,20,19,490988efd702808c67a7ea35f641562f,PASS
Safe_Single,Sample_38,15,14,e56eec78049ec83f4f7d340e6d767cf1,PASS
Safe_Single,Sample_39,19,18,62f2d75b2cf8893993872152888eb308,PASS
Safe_Single,Sample_40,21,20,1fba4ed15bb757382993bf8021b391e4,PASS
Safe_Single,Sample_41,16,15,9765129c59ba3a21d20eb8a57d80dfa2,PASS
Safe_Single,Sample_42,19,18,87df971a55fee45d4258e06dc5e3cada,PASS
Safe_Single,Sample_43,17,16,3b0086e16af4e5ec7b2ffbe5856ae580,PASS
Safe_Single,Sample_44,18,17,3103fa09ec76339db79e63cd34c98081,PASS
Safe_Single,Sample_45,19,18,f2f0db1c8ad2b3048bf393e99c727936,PASS
